rid,rname,address,city,country,phone_number,num_deliveries
276,David Stephens,217 Devon Rapid Apt. 125 Judym,East Alexisbury,Niue,880-429-7990x85,0
277,Thomas Clarke,470 Woods Plains Lopezmouth M,South Colleen,Mauritius,-4328,0
278,Meghan Wells,Unit 8001 Box 0200 DPO AP 5726,New Adrianstad,Vietnam,(231)392-7459,0
279,Janet Li,26089 Susan Court Allisonland,Bennettberg,Tonga,-6360,0
280,Kevin Brown,32643 Michael Streets East Pat,Haileystad,Dominica,9193551959,0
281,Benjamin Arellano ,82053 Harper Shore Apt. 681 We,Lake Michael,Reunion,-10566,0
282,Dean Dixon,643 Cynthia Course South Melis,Michellestad,Samoa,001-851-456-362,0
283,Christina Lam,284 Burke Manor Apt. 721 New C,North Cory,Cape Verde,(680)090-8260,0
284,Christopher Frankl,5672 Fritz Mount Suite 205 Eas,Smithview,Saint Helena,388-732-3631,0
285,Julie Thompson,938 Sarah Wells North Katherin,Larryview,Indonesia,3070933405,0
286,Rhonda Gonzalez,0271 Judy Inlet Suite 042 Clar,Markmouth,Samoa,091.173.3160x47,0
287,Brendan Jenkins,296 Nicholas Cape South David,Ellisburgh,Congo,5871308038,0
288,Richard Spence,71464 Robin Port Smithberg CT,Mccoyborough,Palestinian Territor,(067)310-9230x7,0
289,David Mcmahon,045 Corey Cove Robertsport KY,New Jesse,Serbia,713.643.9677x79,0
290,Jeffrey Spencer,4574 Meredith Mountain Lake Er,North Leslie,Norway,(391)118-9792x2,0
291,Doris Phillips,64627 Ortiz Cape Apt. 639 Sout,Millertown,Gambia,242-729-4730,0
292,Mr. Scott Acevedo ,72306 Megan Stravenue Suite 02,West Zachary,Morocco,001-566-190-011,0
293,Brittney Reyes,908 Mendoza Cliffs Nancystad ,Greerbury,New Caledonia,1181014553,0
294,Harry Taylor,23547 Jones Ville Apt. 747 Sul,Walkerport,Benin,-9399,0
295,Isabella Richard,8681 Taylor Mountains Port Ton,Patelmouth,Holy See (Vatican Ci,803-964-5313x40,0
296,Megan Sanders,2257 Judy Cliff New Toddland ,North Josephchester,Mauritania,001-013-812-534,0
297,Cheyenne Rich,291 Boyle Cove North Lauramout,Bullockville,United Arab Emirates,-4120,0
298,Stephanie Mcgrath,5627 Nguyen Ways West Jasmine,North Norma,Benin,(590)484-5731x5,0
299,Jill Bell,170 Aaron Skyway Apt. 714 Bren,East Kevinhaven,Oman,731090885,0
300,Jaclyn Lopez,8740 Ashley Landing East James,New Teresafort,Norfolk Island,636-112-8237,0
